Title,Author(s),Publisher,Year of Publication,ISBN-13 (or ISBN-10),DDC,obsolete1,Date Added,IDtag,class1,class2,class3,Description,DescSrc,Background,Foreground
Notes from the Underground,Dostoyevsky,"Dover Publications, Inc.",1992,0-486-27053-x,891,,,1008,fiction,russian,,"In 1864, just prior to the years in which he wrote his greatest novels - Crime and Punishment, The Idiot, The Possessed and The Brothers Karamazov, Fyodor Dostoyevsky (1821 - 1881) penned the darkly fascinating Notes from the Underground.  Its nameless hero is a profoundly alienated individual in whose brooding self-analysis there is a search for the true and the good in a world of relative values and few absolutes.  Moreover, the novel introduces themes - moral, religious, political and social - that dominated Dostoyevsky's later works.",Book Back Cover,dodgerblue,white
The Overcoat and Other Short Stories,Gogol,"Dover Publications, Inc.",1992,0-486-27057-2,891,,,1009,fiction,russian,,"This rich selection of four short stories by the great 19th century Russian author of Dead Souls includes The Nose, a savage satire of incompetent bureaucrats and the snobbery and complacency of the Russian upper classes; Old Fashioned Farmers, a sketch depicting an elderly couple who live a happy but simple life in rustic seclusion; The Tale of How Ivan Ivanovich Quarrelled with Ican Nikiforovich, one of Gogol's most famous comic series; and The Overcoat, an exceptionally moving tale - considered a masterpiece of the form - about a poor and much-ridivuled St. Petersburg official.",Book Back Cover,#555,lightgoldenrodyellow
The Kreutzer Sonata and Other Short Stories,Tolstoy,"Dover Publications, Inc.",1993,0-486-27805-0,891,,,1010,fiction,russian,,"One of the world's greatest novelists, Leo Tolstoy (1828-1910) also wrote numerous excellent short stories, three of which are contained in this volume.  The Kreutzer Sonata (1891) is a penetrating study of jealousy as well as a splenetic complaint about the way in which society educates young men and women in the matters of sex.  In The Death of Ivan Ilych (1886), a symbolic Everyman discovers the inner light of faith and love only when confronted with death.  How Much Land Does a Man Need? (1886) is a simple, didactic story of peasant life, written by Tolstoy in the wake of a spiritiau lcrisis.  All three tales offer readers a splendid introduction to Tolstoy's work as well as the focused delights of the short story form brought to a pinnacle in the hands of a master.",Book Back Cover,salmon,Black
The Queen of Spades and Other Stories,Pushkin,"Dover Publications, Inc.",1994,0-486-28054-3,891,,,1011,fiction,russian,,"Besides the brilliant title story, a cunningly wrought narrative of romance and murder in the haute bourgeoisie of St. Petersburg, this volume includes all five stories originally collected as The Tales of the Late P. Belkin.",Book Back Cover,lightgoldenrodyellow,black
Executive Orders,Clancy,G. P. Putnam's Sons,1996,0-399-14218-5,813,,,1012,fiction,thriller,,"The President is dead - and the weight, literally, of the world falls on Jack Ryan's shoulders, in Tom Clancy's newest and most extraordinary novel.",Book Back Cover,darkred,white
Fathers and Sons,Turgenev,"Dover Publications, Inc.",1998,0-486-40073-5,891,,,1013,fiction,russian,,"The impressionable young student Arkady Kirsanoff arrives home in the company of his friend Bazarov, a cynical biologist.  Arkady's father and uncle, already distressed by the upheaval of the peasants, grow increasingly irritated at Bazarov's outspoken nihilism and his ridicule of the conventions of state, church, and home.  The young friends, bored by the rustic life of the Kirsanoff estate, venture off to the provincial capital in search of amusement.  There they encounter both romance and alienation.",Book Back Cover,navy,white
Chelkash and Other Stories,Gorky,"Dover Publications, Inc.",1999,0-486-40652-0,891,,,1016,fiction,russian,,"Three of Gorky's best knon works appear in this collection - the title story, in which a thieving vagrant takes on a young, unwilling apprentice; Makar Chudra, the story of an ill-fated, tempestuous romance between a pair of nomad lovers; and Twenty-six Men and a Girl, widelyregarded as Gorky's best short story, in which a wretched crew of prezel-makers, laboring in a damp and grimy cellar, destroy their only source of joy.",Book Back Cover,skyblue,black
William Shakespeare: The Complete Works,Orgel; Braunmuller,Penguin Books,2002,978-0-14-100058-9,822,,,1020,fiction,classics,,,,maroon,white
The Hornet's Nest: A Novel of the Revolutionary War,Carter,Simon & Schuster,2003,0-7432-5542-9,813,,,1022,fiction,historical-fiction,,"In his ambitious and deeply rewarding novel, Jimmy Carter brings to life the Revolutionary War as it was fought in the Deep South; it is a saga that will change the way we think about the conflict.  He reminds us that much of the fight for independence took place in that region and that it was a struggle of both great and small battles and of terrible brutality, with neighbor turned against neighbor, the Indians' support sought by both sides, and no quarter asked or given.  The Hornet's Nest follows a cast of characters and their loved ones on both sides of this violent conflict - including some who are based on the author's ancestors.",Book Back Cover,teal,white
No Fear Shakespeare: Romeo and Juliet,Crowther,SparkNotes,2003,1-58663-845-9,822,,,1023,fiction,classics,,"Read Romeo and Juliet in all its brilliance and actually understand what it means.  No Fear Shakespeare gives you the complete text of Romeo and Juliet on the left-hand page, side-by-side with an easy to understand translation on the right.",Book Back Cover,dodgerblue,white
Classics of Russian Literature [Part 1 of 3],Weil,The Teaching Company,2006,1-59803-187-2,891,,,1029,fiction,literature,,Russian literature famously probes the depths of the human soul.  These 36 half-hour lectures delve into more than 40 works by a dozen writers under the guidance of Professor Irwin Weil of Northwestern University.,Book Back Cover,honeydew,black
Classics of Russian Literature [Part 2 of 3],Weil,The Teaching Company,2006,1-59803-187-2,891,,,1030,fiction,literature,,Russian literature famously probes the depths of the human soul.  These 36 half-hour lectures delve into more than 40 works by a dozen writers under the guidance of Professor Irwin Weil of Northwestern University.,,honeydew,black
Classics of Russian Literature [Part 3 of 3],Weil,The Teaching Company,2006,1-59803-187-2,891,,,1031,fiction,literature,,Russian literature famously probes the depths of the human soul.  These 36 half-hour lectures delve into more than 40 works by a dozen writers under the guidance of Professor Irwin Weil of Northwestern University.,,honeydew,black
Halo: Broken Circle,Shirley,Gallery Books,2014,978-1-4767-8359-8,813,,,1046,fiction,sci-fi,,"Centuries before the Human-Covenant War would rage across the galaxy, a similar conflict erupted between the Prophets and the Elites - two alient races at odds over the sacred artifacts left by the powerful Forerunners, who disappeared eons ago.  Although they would eventually form a stable alliance called the Covenant, there are those on both sides who question this fateful union.",Book Back Cover,cornsilk,#41abe1
Death of a Salesman: Text and Criticism,Miller; Weales,Penguin Books,1977,978-0-14-024773-2,812,,,1001,fiction,literature,,"Since it was first performed in 1949, Arthur Miller's Pulitzer Prize - winning drama about the tragic shortcomings of an American dreamer has been recognized as a milestone of the theater.  This Viking Critical Library edition of Death of a Salesman contains the complete text of the play, typescript facsimilies, and extensive critical and contextual material.",Book Back Cover,,
How to Be a Time Lord,Donaghy,BBC,2015,978-1-405-92489-4,791,,,1051,fiction,,,Have you ever wondered if you would make the grade in the Time Lord Academy?  Or how to fly the TARDIS?  Or the correct way to dip you fish finger into custard?  Then THIS is the book for you.  This ancient book contains thousands of years of Time Lord wisdom – which the Doctor has ‘improved’ with his own notes and doodles as a guide for the next Doctor.  It contains everything you need to know to be just like him.  So keep it under your fez and don’t tell the Daleks.,Book Back Cover,midnightblue,lemonchiffon
Physics for Scientists & Engineers [Volume III] [Fourth Edition],Giancoli,Pearson Prentice Hall,2009,978-0-13-227400-5,530,,01-16-18,1800,nonfiction,science,,"You don’t have to struggle that hard to learn physics, if you will take the time to read this book and go to class.  As you begin each chapter, respond to the chapter-opening questions, read the text carefully, answer exercise questions, and follow through worked-out examples – they will teach you how to solve problems.",Book Back Cover,white,chocolate
Linear Systems and Signals [Third Edition],Lathi; Green,Oxford University Press,2018,978-0-19-020017-6,621,,09-07-18,1801,nonfiction,engineering,,"Linear Systems and Signals, Third Edition, has been refined and streamlined to deliver unparalleled coverage and clarity.  It emphasizes a physical appreciation of concepts through heuristic reasoning and the use of metaphors, analogies, and creative explanations.  This text uses mathematics not only to prove axiomatic theory, but also to enhance physical and intuitive understanding.  Hundreds of fully worked examples provide a hands-on, practical grounding of concepts and theory.",Book Back Cover,darkblue,palegreen
The Atmel AVR Microcontroller Mega and XMega in Assembly and C,Huang,Delmar,2014,978-1-133-60729-8,621,,01-19-19,1900,nonfiction,engineering,,"Offering comprehensive, cutting-edge coverage in a reader-friendly presentation, The Atmel AVR Microcontroller: MEGA and XMEGA in Assembly and C delivers a systematic introduction to the popular Atmel 8-bit AVR microcontroller with an emphasis on the MEGA and XMEGA subfamilies.",Book Back Cover,skyblue,black
Introduction to Communication Systems [Third Edition],Stremler,Addison Wesley Longman,1992,0-201-18498-2,621,,09-04-19,1901,nonfiction,engineering,,"This textbook presents to undergraduates an introductory explanation of communication systems, with the emphasis on signal design and modulation.  The approach is therefore tailored to a careful development of the mathematical principles upon which such systems are based, using examples from a wide variety of current communication systems wherever possible.  These range from commercial broadcasting and telephone systems to satellite telemetry and radar.",Book Preface,blue,paleturquoise
Fun Home: A Family Tragicomic,Bechdel,Houghton Mifflin Harcourt,2006,978-0-618-87171-1,741,,01-11-20,2000,nonfiction,memoir,,"In this groundbreaking, best-selling graphic memoir, Alison Bechdel charts her fraught relationship with her late father.  In her hands, personal history becomes a work of amazing subtlety and power, written with controlled force and enlivened with humor, rich literary allusion, and heartbreaking detail.",Book Back Cover,seagreen,white
The Story and Its Writer: An Introduction to Short Fiction [Compact 8th Edition],Charters,Bedford's/St. Martin's,2011,978-0-312-59624-8,808,,01-11-20,2001,nonfiction,literature,,"Ann Charters knows that writers, not editors, have the most interesting and useful things to say about the making and the meaning of fiction.  Her anthology, The Story and its Writer, is the most comprehensive and diverse introduction to fiction available, notable for its array of the writers' own commentaries on the craft and traditions of fiction and for its adventurous selection of contemporary and multicultural fiction, this time with more emphasis on graphic storytelling and short, short fiction.",Book Back Cover,,
Building Bridges through Writing,Smith; Smith,Fountainhead,2014,978-1-59871-782-2,428,,08-26-20,2004,nonfiction,literature,,"Building Bridges through Writing is an introductory composition text that covers the general writing process while dealing with the specifics of writing, conducting research, and documenting sources in the different disciplines of the academic community. It is designed to help students improve all of their writing, from freshman composition to general education courses to senior-level courses in their majors.",Publisher Website,sandybrown,black
The Musician's Guide Anthology [Third Edition],Clendinning; Marvin,Norton,2016,978-0-393-28319-8,781,,09-04-20,2005,nonfiction,music,,"The Anthology includes over 100 outstanding teaching pieces written between the seventeenth century and the present.  Recordings for all Anthology works are available online.  For this edition, the Anthology has been expanded with new works by Bach, Debussy, Holst, Ives, and more.",Book Back Cover,purple,white
The Musician's Guide to Theory and Analysis [Third Edition],Clendinning; Marvin,Norton,2016,978-0-393-26305-3,781,,09-04-20,2006,nonfiction,music,,"The Musician’s Guide series is the most comprehensive and flexible set of materials available for learning music theory.  For theory classes, this textbook and its accompanying workbook cover a wide range of topics – from fundamentals to harmony, form and analysis, popular music, and twenty-first century works.  An anthology features core repertoire for study along with recordings for each work.",Book Back Cover,purple,white
The Story of Jazz,Stearns,Oxford University Press,1970,978-0-19-501269-9,781,,01-04-21,2103,nonfiction,music,,"This book is “one of the great books of jazz” according to the New York Times Book Review.  For thirty years, beginning in the mid-twenties, Marshall Stearns listened to jazz, read about it, and talked to all the musicians who played it that he could discovery.  The result is this superlative history, the first and most renowned systematic outline of the evolution of this unique American musical phenomenon.",Book Back Cover,lightgrey,crimson
Inside the Score,Wright,"Kendor Music, Inc.",1982,N/A,781,,01-04-21,2104,nonfiction,music,,"This acclaimed text reveals the writing secrets of jazz greats Thad Jones, Sammy Nestico, and Bob Brookmeyer! It presents detailed examinations of 8 of their best charts by analyzing voicings, melodic construction, form, orchestration, textures, passing harmonies, etc.",Publisher Website,white,purple
Instrumental Jazz Arranging,Tomaro; Wilson,Hal Leonard,2009,978-1-4234-5274-4,784,,01-04-21,2105,nonfiction,music,,"Instrumental Jazz Arranging consists of a systematic presentation of the essential techniques and materials of jazz arranging.  Authors Mike Tomaro and John Wilson draw upon over fifty years of combined teaching experience to bring you a book that addresses all of the basic needs for beginning arrangers.  Topics include counterpoint/linear writing, jazz harmony, compositional techniques, and orchestration.  All serve to address in great detail issues concerned with true arranging.",Book Back Cover,maroon,lemonchiffon
Jazz [2nd Edition],Deveaux; Giddins,W. W. Norton,2015,9780393937060,781,,01-19-21,2106,nonfiction,music,,This second edition of Jazz combines a dynamic listening experience of 77 classic and lesser-known masterpieces (23 new to this edition) with an absorbing narrative history and a media package without match.,Book Back Cover,black,lightskyblue
Sustainability: A Bedford Spotlight Reader [Second edition],Weisser,Bedford's/St. Martin's,2019,978-1-319-05661-2,428,,08-21-21,2107,nonfiction,science,,"The Bedford Spotlight Reader Series brings critical topics to life in a portable, cost-effective reader.  In this volume you’ll explore these questions and others: What are the foundations of sustainability?  How do natural disasters and other crises challenge sustainability?  How is sustainability connected to the environment, tourism, and recreation?",Book Back Cover,white,teal
Introduction to Government and Binding Theory [2nd Edition],Haegeman,Blackwell Publishers,1999,0-631-19067-8,415,,01-25-22,2200,nonfiction,linguistics,,Since its publication in 1991 Liliane Haegeman’s Introduction to Government and Binding Theory has become established as the most authoritative introduction to the Principles and Parameters approach to syntactic theory.  This new edition has been extensively updated throughout.  Major structural changes include new chapters on Functional Heads and Head Movement and on Relativized Minimality.  Discussions of a number of topics missing from or not paid due attention in the first edition have been integrated or expanded.,Book Back Cover,gainsboro,peru
An Introduction to English language Structure,Radford,Cambridge University Press,2010,978-0-521-73190-4,428,,01-25-22,2201,nonfiction,linguistics,,"This outstanding resource for students offers a step-by-step, practical introduction to English syntax and syntactic principles, as developed by Chomsky over the past fifteen years.  Assuming little or no prior background in syntax, Andrew Radford outlines the core concepts and how they can be used to describe various aspects of English sentence structure.  This is an abridged version of Radford’s major new textbook Analysing English Sentences, and will be welcomed as a handy introduction to current syntactic theory.",Book Back Cover,black,lemonchiffon
Language and Meaning,Birner,Routledge,2018,978-1-138-21824-6,401,,01-29-22,2202,nonfiction,linguistics,,"Language and Meaning provides a clear, accessible and unique perspective on the philosophical and linguistic question of what it means to mean.  Looking at relationships such as those between literal and non-literal meanings, linguistic form and meaning, and language and thought, this volume tackles the issues involved in what we mean and how we convey it.",Book Back Cover,white,black
How to Draw Manga: Macromedia Flash Techniques,"Ito, Aki",Graphic-Sha,2003,9784766114089,741,,09-19-24,2400,nonfiction,crafts,,"You've probably heard before that FLASH is something used to make lively, interactive, web-based interfaces or animated movies. FLASH is certainly well suited for those applications, but did you know you could use it to create computer graphics that put Photoshop to shame? FLASH-based Bishoujo drawing techniques are quite advanced, and in this book we'll show you the complete, essential, start-to-finish techniques of six pioneering FLASH masters. We've literally stuffed the pages with tips on everything from how to draw with FLASH to how to make your Bishoujo cuter. At the end of each section, you'll find a gallery showcasing each artist's work",Publisher Website,white,red
3D Graphics: A Visual Approach,Wolfe,Oxford University Press,1999,,6,,10-29-24,2401,nonfiction,software-dev,,"Richly illustrated, 3D Graphics: A Visual Approach presents a visual introduction to the exciting world of computer graphics and covers important rendering techniques including bump, texture, and environment mapping.  Through a technique called Visual Analysis, a reader learns to identify graphics effects visually by looking for a few cues.  Cues and concepts are presented progressively, with more complex cues building from simpler ones.  The material covered in this text will provide students with a good feel for the range and visual effect of rendering algorithms.",Book Back Cover,beige,black
The Norton Scores: An Anthology for Listening,Kamien,W. W. Norton,1968,,780,,11-30-24,2402,nonfiction,music,,"The Norton Scores is an anthology of music designed for the listener; the selection of music ranges from a fifteenth-century moet by Josquin to twentieth-century masterpieces by Schoenberg, Stravinsky, and Bartók, and includes complete works and excerpts illustrating the major forms, genres, and composers.",Book Back Cover,beige,chocolate
The Java Native Interface: Programmer's Guide and Specification,Liang,Addison-Wesley,1999,0-201-32577-2,5,,12-08-24,2403,nonfiction,software-dev,,,,,
Flash Cartoon Animation: Learn from the Pros,Peaty; Kirkpatrick,Friends of Ed,2002,1-903450-98-5,775,,12-11-24,2404,nonfiction,crafts,,"This book is the shortcut to success, and you’ll learn a hell of a lot along the way.  Two experienced Flash animators, Kevin and Glenn, draw on their rich studio experience and their knowledge of Flash to show you the best way to create great Flash cartoons, that look as good and work in the same way as traditional films.",Book Back Cover,white,darkmagenta
The Flash Webisode Production Handbook,Moore,"Charles River Media, Inc.",2001,,,,12-25-24,2405,nonfiction,crafts,,"With the power of Flash, your web presentations and information can be fun and interactive.  Using streaming animations, or Webisodes, you can entertain, educate, and promote to your audience easily and effectively.  Written for artists, illustrators, multimedia developers, and web developers, The Flash Webisode Production Handbook provides useful insights and hands-on techniques that explain how to plan, create, and deploy Webisodes with Flash 5.",Book Back Cover,white,mediumblue
Eye on Nature: An Elegant Little Guide to Outdoor Photography,Holmes,"W. E. Andrews Co., Inc.",1996,0-9651828-0-0,,,02-16-25,2500,nonfiction,crafts,,"Welcome to Eye on Nature, a guide to improving your outdoor photography and a collaboration between one of America’s finest outdoor photographers and three companies known for their devotion to excellence in their products: L. L. Bean, Inc., Eastman Kodak Company, and Haselblad USA.",Book Back Cover,white,darkolivegreen
English Grammar and Composition [4th Edition],Warriner,Harcourt Brace Jovanovich,1976,0-15-311936-5,808,,,1000,nonfiction,linguistics,,,,#41abe1,white
Problem Solving and Structured Programming in FORTRAN [2nd Edition],Friedman; Koffman,Addison Wesley Publishing Co.,1981,0-201-02461-6,1,,,1002,nonfiction,software-dev,,"This book is designed as a text for a one semester, introductory course in computer programming.  No background other than high school algebra is assumed.  The material presented reflects the authors’ view that good problem solving and programming habits should be introduced at a very early stage in the development of a student’s programming skills, and that they are best instilled by examples, by frequent practice, and through instructor-student interaction.  Therefore we have concentrated on demonstrating problem solving and programming techniques through the use of more than 30 completely solved problems.",Book Preface,red,beige
Hitchcock,Truffaut,Simon & Schuster,1983,978-0-671-52601-6,791,,,1003,nonfiction,film,,,,,
Assembly Language Programming for the IBM Personal Computer,Bradley,"Prentice-Hall, Inc.",1984,0-13-049171-3,1,,,1004,nonfiction,software-dev,,"In this practical new book, David J. Bradley shows you how to write assembly language programs for the IBM Personal Computer.  To use the book most effectively you will need some previous experience in BASIC, PASCAL, or similar languages.  However, the material in this book will help you in assembly programming even if you lack knowledge of the inner workings of a computer.",,mediumblue,white
Applied Linear Algebra,Noble; Daniel,Prentice Hall,1988,0-13-041260-0,512,,,1005,nonfiction,mathematics,,"Linear algebra is an essential part of the mathematical toolkit required in the modern study of many areas in the behavioral, natural, physical, and social sciences, in engineering, in business, in computer science, and of course in pure and applied mathematics.  Our aim in this book is to develop the fundamental concepts of linear algebra, emphasizing those concepts that are most important in applications, and to illustrate the applicability of these concepts through a variety of applications.  Thus, while we present applications for illustrative and motivative purposes, our main goal is to present mathematics that can be applied.",Book Preface,beige,black
Assembler Language with ASSIST and ASSIST/I [Fourth Edition],Overbeek; Singletary,Prentice Hall,1991,0-02-390005-9,5,,,1007,nonfiction,software-dev,,The objective of this text is the systematic introduction of a completely operational subset of assembler language.  Elements of the language are introduced without the complications inherent in any attempt to cover file manipulation and data processing concepts in a first assembler language course.  Concentration on the language alone permits a more thorough and comprehensive initial treatment.,Book Preface,gainsboro,black
Numerical Linear Algebra for High-Performance Computers,Dongarra; Duff; Sorensen; van der Vorst,Society for Industrial and Applied Mathematics,1998,0-89871-428-1,4,,,1014,nonfiction,mathematics,,The purpose of this book is to present a unified treatment of recently developed techniques and current understanding about solving problems of linear equations and large-scale eigenvalue problems on high-performance computers.  The book provides a rapid introduction to the world of vector and parallel processing for these linear algebra applications.,Book Back Cover,navy,lemonchiffon
Matrix Algorithms: Volume 1: Basic Decompositions,Stewart,Society for Industrial and Applied Mathematics,1998,0-89871-414-1,512,,,1015,nonfiction,mathematics,,"This thorough, concise, and superbly written volume is the first in a self-contained multivolume series devoted to matrix algorithms.  It focuses on the computation of matrix decompositions – that is, the factorization of matrices into products of similar ones.",Book Back Cover,silver,crimson
Code: The Hidden Language of Computer Hardware and Software,Petzold,Microsoft Press,2000,0-7356-1131-9,5,,,1017,nonfiction,software-dev,,,,,
Core C++: A Software Engineering Approach,Shtern,Prentice Hall PTR,2000,0-13-085729-7,5,,,1018,nonfiction,software-dev,,,,,
Piano 300,Hoover; Rucker; Good,NAMM International,2001,0-929847-08-3,786,,,1019,nonfiction,music,,"On March 8, 2000 the National Museum of American History opened PIANO 300 in the Smithsonian’s International Gallery in Washington, D.C. Celebrating the tricentennial of the piano’s invention in Florence by Bartolomeo Cristofori, this remarkable exhibition was seen by more than 330,000 visitors from around the world during the course of a 20-month run.  Part exhibition catalog and part technical and social history of the piano, PIANO 300: Celebrating Three Centuries of People and Pianos presents the exhibition’s highlights.",Book Back Cover,black,wheat
C# Primer: A Practical Approach,Lippman,Addison-Wesley,2002,0-201-72955-5,5,,,1021,nonfiction,software-dev,,,,,
Writing Secure Code: Practical Strategies and Techniques for Secure Application Coding in a Networked World [2nd Edition],Howard; LeBlanc,Microsoft Press,2003,0-7356-1722-8,5,,,1024,nonfiction,software-dev,,,,,
You Can Learn Sign Language!,Kramer; Ovadia,Scholastic,2004,0-439-63583-7,419,,,1025,nonfiction,linguistics,,,,,
Microsoft .NET Kick Start,Seth,Sams Publishing,2004,0-672-32574-8,5,,,1026,nonfiction,software-dev,,,,,
Macromedia Flash MX 2004 Game Development,Rhodes,"Charles River Media, Inc.",2004,1-58450-309-2,794,,,1027,nonfiction,software-dev,,"Creating games with Macromedia Flash MX 2004 is a rewarding endeavor for aspiring and seasoned programmers alike.  With its quick download time, cross-platform deployment, ease of use, and power, Flash is quickly becoming the program of choice for online game development.  The use of vector graphics also makes the games scalable for any resolution from full screen to cell phone.",Book Back Cover,white,maroon
Introducing Microsoft ASP.NET 2.0,Esposito,Microsoft Press,2005,0-7356-2024-5,5,,,1028,nonfiction,software-dev,,,,,
Pro ASP.NET 2.0 in VB 2005,Moroney; MacDonald,Apress,2006,978-1-59059-563-3,5,,,1032,nonfiction,software-dev,,,,,
Pro VB 2005 and the .NET 2.0 Platform [Second Edition],Troelsen,Apress,2006,978-1-59059-578-7,5,,,1033,nonfiction,software-dev,,,,,
The Essential Guide to Flex 2 with ActionScript 3.0,Brown,Friendsof,2007,978-1-59059-733-0,6,,,1034,nonfiction,software-dev,,,,,
